#,What's your office location,Are you an Intern or a TDP?,What year are you in school?,Is the grass really greener on the other side?,Is a hotdog really a sandwich?,Backend or Frontend?,Is water wet?,Do straws have two holes or one?,Is it Gif or Jif?,Is cereal soup?,"If you are at a restaurant and your waiter doesn't come back, are you the waiter?","Since tomatoes are technically fruits, does that make ketchup jam?",Does pineapple belong on pizza?,If you put one lasagna on top of another lasagna is it two lasagnas or just one big one?,Does Mike Wazowski wink or blink?,"If you fold pizza and eat it, are you eating a sandwich?",Start Date (UTC),Submit Date (UTC),Network ID
i81m0rhyow4ytxjpi81m13j2bvl4ck2t,Buffalo,2022 Intern,Junior,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Jif,0,0,0,1,Two Lasagnas,Blink,0,2022-06-22 14:47:02,2022-06-22 14:48:03,1a379bb2b4
jvn4ayf0qnm2nsxetdx72jvn4ayfa24t,Buffalo,2022 Intern,Senior,1,0,"print(""Backend"")",0,Two Holes,Gif,0,0,1,1,Two Lasagnas,Blink,0,2022-06-22 14:46:48,2022-06-22 14:47:51,55aa36c74c
9tsziky0toqazs79tszikgrm9aa4n4ik,Buffalo,2020 TDP,,1,0,"print(""Backend"")",1,One Hole,Jif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 00:44:27,2022-06-22 00:45:33,55aa36c74c
1uiuo92ab33yffj7r4miht1uiuo90rh2,Buffalo,2022 Intern,Senior,0,1,"print(""Backend"")",1,One Hole,Gif,0,1,1,0,Two Lasagnas,Blink,0,2022-06-21 20:42:09,2022-06-21 20:46:25,55aa36c74c
myji7a74n339zw749jmyji7ajlvhmrc9,Buffalo,2022 Intern,Junior,0,0,"print(""Backend"")",0,Two Holes,Jif,1,1,0,1,Two Lasagnas,Wink,0,2022-06-21 20:42:45,2022-06-21 20:44:26,1a379bb2b4
sdnho0cqs5aecely681sdnhow5t1sspv,Buffalo,2021 TDP,,1,0,"print(""Backend"")",1,Two Holes,Gif,0,0,0,1,One Lasagna,Wink,0,2022-06-21 20:39:54,2022-06-21 20:40:58,55aa36c74c
rea1tuiwc0itb0nsruqj32ck8rea1tu2,Buffalo,2020 TDP,,0,0,"print(""Backend"")",1,Two Holes,Gif,0,1,1,1,Two Lasagnas,Blink,0,2022-06-21 19:34:25,2022-06-21 19:54:20,1a379bb2b4
jpl6ld6jx6hf8ff83h0zqjpl6go6xi73,Buffalo,2020 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Gif,0,1,1,0,One Lasagna,Blink,0,2022-06-21 19:52:11,2022-06-21 19:54:07,55aa36c74c
hekawetgllp28b398orlhekawegoad3c,Buffalo,2020 TDP,,0,0,"print(""Backend"")",0,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-21 19:52:35,2022-06-21 19:54:01,1a379bb2b4
150dm5ispmxpysxzq7150dmwbyveg91f,Buffalo,2021 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Jif,0,1,0,1,One Lasagna,Blink,0,2022-06-21 19:36:44,2022-06-21 19:38:36,1a379bb2b4
n3hgt6nbype7jiokyr53cn3hgt18vrej,Buffalo,2020 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,1,0,1,1,Two Lasagnas,Wink,0,2022-06-21 19:36:33,2022-06-21 19:38:27,55aa36c74c
g0xwabkismuknngd8g0xwa9bxi3oee0e,Buffalo,2021 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,1,1,1,One Lasagna,Blink,0,2022-06-21 19:26:34,2022-06-21 19:28:16,55aa36c74c
enaqj44pwjputwe0enaqj41004kn01r7,Buffalo,2021 TDP,,0,0,"print(""Backend"")",1,One Hole,Jif,0,0,0,0,One Lasagna,Blink,0,2022-06-21 19:19:29,2022-06-21 19:21:26,55aa36c74c
r7zq75ggw9m50xs4r7zq758hfqttbfxv,Buffalo,2021 TDP,,1,1,"print(""Backend"")",0,One Hole,Jif,1,1,1,1,One Lasagna,Blink,0,2022-06-21 19:17:55,2022-06-21 19:20:19,1a379bb2b4
f2sj82zfygm4mhb2i0f2sj2cd117gdcs,Buffalo,2020 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,1,0,1,One Lasagna,Blink,0,2022-06-21 19:18:17,2022-06-21 19:19:14,1a379bb2b4
97jo7dyrmmeylgy1ekqe497jo7d8k8qv,Buffalo,2020 TDP,,0,0,"print(""Backend"")",1,One Hole,Gif,1,0,1,0,One Lasagna,Blink,0,2022-06-21 19:15:18,2022-06-21 19:17:01,1a379bb2b4
pzrpqgilytp1es21ze8o5lpzrpqy49ps,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-21 19:12:58,2022-06-21 19:13:59,1a379bb2b4
lsuz1v142racpdf2lsuzgynkkn5ad4nu,Buffalo,2021 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Jif,1,1,1,0,One Lasagna,Blink,0,2022-06-21 19:10:16,2022-06-21 19:11:36,1a379bb2b4
rw11kotelzrtqzjlc9b7rw11kn7cmgmz,Buffalo,2020 TDP,,0,1,"print(""Backend"")",0,Two Holes,Gif,1,1,0,1,One Lasagna,Blink,0,2022-06-21 19:09:23,2022-06-21 19:11:34,1a379bb2b4
zp0qt2xtc5qhrsguto9pnuehzp0qt2xq,Buffalo,2020 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-21 19:08:37,2022-06-21 19:10:34,1a379bb2b4
z8obu5wv8pfhsmz8ox8laitca8jqbpz0,Buffalo,2020 TDP,,0,0,"print(""Backend"")",1,One Hole,Gif,1,1,1,0,One Lasagna,Blink,0,2022-06-21 19:08:27,2022-06-21 19:09:52,1a379bb2b4
4hg4sq4c4dvbruywh4hg4f765jttv4uk,Buffalo,2020 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,1,1,0,0,One Lasagna,Blink,0,2022-06-21 15:43:57,2022-06-21 15:45:06,55aa36c74c
osj44aq0obc78snzc5osj44atmk5b8sq,Buffalo,2021 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Jif,0,1,0,0,Two Lasagnas,Wink,0,2022-06-21 13:43:23,2022-06-21 13:44:31,1a379bb2b4
to10cp4bw501s4vf7icbb5to10cp4bbx,Buffalo,2021 TDP,,0,1,"print(""Backend"")",1,Two Holes,Gif,1,0,0,1,Two Lasagnas,Blink,0,2022-06-21 13:40:07,2022-06-21 13:41:02,1a379bb2b4
8mxifd093rcvu08mxiqhymfqkm0eu662,Buffalo,2020 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,1,0,0,0,One Lasagna,Blink,1,2022-06-21 13:30:18,2022-06-21 13:31:20,1a379bb2b4
hhq9r24f5aa2ehhhq966skou6w9j7a7r,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Jif,0,1,1,1,One Lasagna,Wink,1,2022-06-21 13:18:33,2022-06-21 13:19:43,55aa36c74c
04f820z4lzn1noy04f8pjflyghdg7jrt,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,1,0,0,1,One Lasagna,Wink,0,2022-06-21 12:49:24,2022-06-21 12:49:26,55aa36c74c
821blvkjzqt6t81821bazi96634is5lc,Buffalo,2020 TDP,,0,1,"print(""Backend"")",0,One Hole,Gif,1,1,0,0,Two Lasagnas,Wink,0,2022-06-21 12:47:14,2022-06-21 12:48:36,55aa36c74c
r1vz6vokgceg0wv0qhr1vzgagoxvbitq,Buffalo,2021 TDP,,0,0,"print(""Backend"")",1,One Hole,Gif,1,0,1,1,One Lasagna,Blink,0,2022-06-21 12:36:05,2022-06-21 12:37:07,55aa36c74c
ddf9ui3hozg2eevobpu3ddf9urjal0rt,Buffalo,2021 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,1,0,0,One Lasagna,Blink,0,2022-06-21 10:56:45,2022-06-21 10:57:58,1a379bb2b4
jvhgvftoldnnmx06wvf99jvhgvftgou7,Buffalo,2021 TDP,,1,1,"print(""Backend"")",0,One Hole,Gif,1,1,1,0,One Lasagna,Wink,0,2022-06-20 20:29:26,2022-06-20 20:30:35,494246e8ff
kbtvmnt4bbgiw34kbqggbkbtvmnwb8dl,Buffalo,2020 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,1,0,1,1,One Lasagna,Blink,1,2022-06-17 19:28:48,2022-06-17 19:32:36,d7a1ae915b
uksw2vs9fd8y7jw8otuksw2vdflbo9w1,Buffalo,2021 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,Two Holes,Gif,0,1,0,0,One Lasagna,Wink,0,2022-06-17 18:52:41,2022-06-17 18:54:07,1a379bb2b4
fumw6zrpe64lv5m6ekfumw6zlu3j0b79,Buffalo,2021 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-17 18:52:57,2022-06-17 18:53:59,1a379bb2b4
oc9v62vu3lvt2yaqkfwoc9v62vc2w1tn,Buffalo,2021 TDP,,1,1,"print(""Backend"")",1,Two Holes,Gif,0,0,0,1,Two Lasagnas,Blink,0,2022-06-17 18:30:07,2022-06-17 18:49:15,55aa36c74c
p93vr2fsoykeri8oqupu5p93v1n0ryd0,Buffalo,2021 TDP,,1,1,"print(""Backend"")",0,Two Holes,Jif,0,1,1,1,One Lasagna,Blink,0,2022-06-17 18:46:17,2022-06-17 18:46:49,1a379bb2b4
0wycd5u1hk7s8c8kkp75b0wyc6dclm5d,Buffalo,2021 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,0,0,0,Two Lasagnas,Blink,0,2022-06-17 18:43:31,2022-06-17 18:45:06,1a379bb2b4
ie5bgl7k785c637v1iie5ts326dv8r0r,Buffalo,2021 TDP,,1,1,"print(""Backend"")",0,One Hole,Gif,1,1,0,1,One Lasagna,Blink,0,2022-06-17 18:31:00,2022-06-17 18:35:39,55aa36c74c
9paa7epn255t129paa7jat6zz89lu7cb,Buffalo,2021 TDP,,0,1,"print(""Backend"")",0,Two Holes,Jif,0,0,1,0,One Lasagna,Blink,0,2022-06-17 18:33:34,2022-06-17 18:34:17,55aa36c74c
y78a0nb62jxbn2t5cy78a0nb0wp949g3,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-17 18:32:36,2022-06-17 18:34:04,55aa36c74c
jwe76b0ceh05qcbe9r6kujwe76btqk51,Wilmington,2020 TDP,,0,0,"print(""Backend"")",1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-17 18:31:14,2022-06-17 18:33:55,1a379bb2b4
ci75tty05nfrk566kci75ttprj9ekall,Wilmington,2020 TDP,,1,0,"print(""Backend"")",1,Two Holes,Gif,0,1,1,0,One Lasagna,Blink,0,2022-06-17 18:31:42,2022-06-17 18:32:59,1a379bb2b4
ro1a3jouefnkauphw2mi7ro1a3j67evy,Buffalo,2021 TDP,,0,0,"print(""Backend"")",0,One Hole,Jif,0,1,0,0,One Lasagna,Blink,0,2022-06-17 18:30:29,2022-06-17 18:32:03,55aa36c74c
l0nfhljbbif11w5m1l0nfhlpm37493hl,Buffalo,2021 TDP,,0,0,"print(""Backend"")",1,Two Holes,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-17 18:30:10,2022-06-17 18:31:22,55aa36c74c
9kfwwb9ipo1z5433j2w9kfwwwn5g79xf,Buffalo,2021 TDP,,0,0,"print(""Backend"")",1,Two Holes,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-17 18:29:21,2022-06-17 18:31:11,55aa36c74c
qk2zsoklonnvfjoh86hqkpc64xj0eglv,Buffalo,2021 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-17 18:30:04,2022-06-17 18:30:51,fe599c6d7c
bnpou5idanxdeuho06i9tujbnpou5idk,Buffalo,2020 TDP,,0,1,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-17 18:30:25,2022-06-17 18:30:51,1a379bb2b4
hqw02ha0r6hciikhqw0wq5ae230cq8w2,Buffalo,2021 TDP,,1,0,"print(""Backend"")",0,One Hole,Gif,0,0,0,0,One Lasagna,Wink,0,2022-06-17 18:29:44,2022-06-17 18:30:08,55aa36c74c
bmxpr3l7f2ifc3vlxgi9zyfbmxpr3o88,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,0,1,0,0,,Blink,0,2022-06-17 18:26:57,2022-06-17 18:28:01,1a379bb2b4
ctnfc8iran5udr5p1lryhctnfcknh8xj,Buffalo,2021 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,Two Holes,Gif,0,0,0,1,,Blink,0,2022-06-17 18:22:11,2022-06-17 18:27:45,fe599c6d7c
0tx4lj4zdnqifn0lk0tx45cjgm0inll2,Buffalo,2021 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,0,0,0,1,,Blink,0,2022-06-17 18:24:28,2022-06-17 18:27:38,55aa36c74c
drtfs4a5458rxxn03yqnurhndrtfs4az,Buffalo,2021 TDP,,1,1,"print(""Backend"")",1,Two Holes,Gif,0,0,0,1,,Blink,0,2022-06-17 18:22:01,2022-06-17 18:27:07,55aa36c74c
xj26rbe8whhjqxj26x8swyq3qk1sb32r,Buffalo,2021 TDP,,0,0,"print(""Backend"")",1,Two Holes,Gif,0,0,0,1,,Blink,0,2022-06-17 18:22:26,2022-06-17 18:27:03,55aa36c74c
h0add6z9jdawbt2etobhh0add6zdaflf,Buffalo,2020 TDP,,0,1,"print(""Backend"")",1,One Hole,Gif,1,0,0,0,,Blink,0,2022-06-17 18:25:44,2022-06-17 18:26:55,1a379bb2b4
9cp1jkp6pokyg0pffwz79cp1jqqaebc3,Buffalo,2021 TDP,,1,0,"print(""Backend"")",1,One Hole,Gif,0,1,0,0,,Blink,0,2022-06-17 18:23:32,2022-06-17 18:25:18,1a379bb2b4
1wc0j50v3b16diinph99nsxu1wc0j50v,Buffalo,2021 TDP,,1,0,"print(""Backend"")",0,One Hole,Gif,0,1,0,1,,Wink,0,2022-06-17 18:22:54,2022-06-17 18:23:58,55aa36c74c
utg6w0wp4k3ecx9e64utgqdtg7q9mq7u,Buffalo,2021 TDP,,0,0,"print(""Backend"")",0,One Hole,Gif,0,0,0,0,,Blink,0,2022-06-17 18:21:43,2022-06-17 18:23:25,55aa36c74c
hlxa4rgwagb92mt8lhlxaolc30cbp24f,Buffalo,2021 TDP,,1,0,"print(""Backend"")",1,One Hole,Gif,0,1,0,0,,Blink,0,2022-06-17 18:21:45,2022-06-17 18:23:25,55aa36c74c
